ALLSKY_SFC_SW_DWN,T2M,QV2M,PS,date,radiation_kWh
5.4444,26.92,20.86,100.28,2024-01-01,1.5123333333333333
4.9901,26.86,20.56,100.27,2024-01-02,1.3861388888888888
5.2368,26.66,20.27,100.27,2024-01-03,1.4546666666666666
6.1464,26.92,19.77,100.28,2024-01-04,1.7073333333333331
3.6902,25.9,19.63,100.42,2024-01-05,1.0250555555555556
4.6133,26.05,19.41,100.39,2024-01-06,1.2814722222222221
5.0964,26.7,19.52,100.38,2024-01-07,1.4156666666666666
2.3484,26.26,19.78,100.4,2024-01-08,0.6523333333333333
4.7275,26.28,19.22,100.31,2024-01-09,1.3131944444444443
5.718,26.83,19.48,100.18,2024-01-10,1.5883333333333334
5.8378,26.61,19.99,100.23,2024-01-11,1.621611111111111
5.6158,26.89,19.96,100.22,2024-01-12,1.5599444444444444
4.625,26.36,19.7,100.25,2024-01-13,1.284722222222222
3.9902,26.36,19.84,100.27,2024-01-14,1.1083888888888889
4.9951,25.84,19.6,100.32,2024-01-15,1.3875277777777777
3.8014,25.17,19.02,100.34,2024-01-16,1.0559444444444444
4.8917,25.79,18.76,100.28,2024-01-17,1.3588055555555556
5.5522,26.82,19.77,100.23,2024-01-18,1.5422777777777776
4.2559,26.24,19.78,100.29,2024-01-19,1.1821944444444443
4.8386,25.57,19.22,100.38,2024-01-20,1.3440555555555553
4.8972,25.75,19.28,100.42,2024-01-21,1.3603333333333332
6.0158,26.15,19.58,100.46,2024-01-22,1.6710555555555553
3.9394,26.47,19.68,100.53,2024-01-23,1.0942777777777777
3.5784,25.26,18.81,100.58,2024-01-24,0.9939999999999999
5.6647,25.88,19.21,100.64,2024-01-25,1.5735277777777776
6.3233,26.21,19.65,100.68,2024-01-26,1.756472222222222
5.6251,26.75,19.3,100.62,2024-01-27,1.5625277777777777
6.4255,26.79,18.89,100.61,2024-01-28,1.7848611111111112
5.9268,26.58,18.96,100.59,2024-01-29,1.6463333333333332
6.6619,26.34,19.02,100.55,2024-01-30,1.8505277777777778
6.2436,26.5,19.41,100.57,2024-01-31,1.7343333333333333
5.7751,26.43,19.58,100.56,2024-02-01,1.6041944444444445
3.9775,26.33,19.6,100.55,2024-02-02,1.104861111111111
4.1275,26.34,19.51,100.53,2024-02-03,1.1465277777777778
4.6025,26.26,19.58,100.59,2024-02-04,1.2784722222222222
5.5838,25.83,19.35,100.68,2024-02-05,1.5510555555555556
5.8334,26.27,19.48,100.61,2024-02-06,1.6203888888888889
3.9936,25.6,19.34,100.56,2024-02-07,1.1093333333333333
6.0257,26.48,19.29,100.47,2024-02-08,1.6738055555555553
4.4983,26.53,20.12,100.5,2024-02-09,1.2495277777777778
3.6158,26.17,19.68,100.65,2024-02-10,1.004388888888889
3.8863,26.2,19.9,100.67,2024-02-11,1.0795277777777776
2.0424,25.82,19.5,100.69,2024-02-12,0.5673333333333334
6.2402,25.66,18.96,100.65,2024-02-13,1.7333888888888889
6.8902,26.57,19.03,100.5,2024-02-14,1.9139444444444444
6.0758,26.75,19.53,100.45,2024-02-15,1.6877222222222221
6.8345,26.61,18.79,100.43,2024-02-16,1.8984722222222223
6.8664,26.41,18.43,100.42,2024-02-17,1.907333333333333
7.1527,26.68,18.71,100.45,2024-02-18,1.9868611111111112
7.117,26.79,19.21,100.45,2024-02-19,1.9769444444444444
6.787,27.25,19.7,100.43,2024-02-20,1.8852777777777776
6.971,27.31,19.84,100.37,2024-02-21,1.936388888888889
6.8974,27.06,19.28,100.43,2024-02-22,1.9159444444444444
6.359,27.05,19.37,100.51,2024-02-23,1.7663888888888888
6.7471,27.13,19.98,100.4,2024-02-24,1.8741944444444443
6.4632,27.0,20.0,100.37,2024-02-25,1.7953333333333332
4.2115,26.26,19.96,100.41,2024-02-26,1.169861111111111
6.5494,26.17,19.25,100.33,2024-02-27,1.8192777777777778
6.9002,27.03,19.67,100.22,2024-02-28,1.9167222222222222
6.9996,27.41,20.09,100.24,2024-02-29,1.9443333333333332
