-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in UTC
Location: Latitude  0.1333   Longitude 117.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 37.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
PSC                   MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Airport: flat rough grass (airportgrass) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2015,4.4378,5.1048,5.6798,5.6347,5.1946,4.422,5.3712,5.4665,4.7892,4.8089,5.0635,5.2692,5.1048
ALLSKY_SFC_SW_DWN,2016,5.3158,5.7168,5.7089,5.7406,5.0338,4.4513,4.7954,5.016,4.9042,4.4693,4.7028,4.3742,5.016
ALLSKY_SFC_SW_DWN,2017,4.5847,5.0712,5.1146,4.999,4.8898,4.3481,4.5917,4.5166,4.6598,4.957,4.746,4.4762,4.7441
ALLSKY_SFC_SW_DWN,2018,4.339,4.9848,4.9901,5.142,4.909,4.5898,4.4676,5.389,5.4478,4.9418,4.92,4.8259,4.9104
ALLSKY_SFC_SW_DWN,2019,4.6879,5.7962,5.6174,5.0662,5.1086,4.4597,4.5326,5.1228,5.6918,5.2805,5.3107,4.6558,5.105
ALLSKY_SFC_SW_DWN,2020,5.1142,5.6314,5.6182,5.5094,4.9241,4.4112,4.3966,5.0054,4.5823,4.5922,4.8221,4.5118,4.9238
ALLSKY_SFC_SW_DWN,2021,4.1873,4.9351,4.9565,4.9937,4.6169,4.6728,4.4405,4.6634,4.7114,4.991,4.4184,4.0793,4.6358
ALLSKY_SFC_SW_DWN,2022,4.6214,4.7453,4.9229,4.8406,4.7122,4.891,4.2362,4.6997,4.7587,4.6061,4.6241,4.3874,4.6687
ALLSKY_SFC_SW_DWN,2023,4.1462,4.4107,4.8386,4.9123,4.6121,4.4177,4.5799,5.0662,5.1722,5.5258,4.9063,5.0606,4.8067
ALLSKY_SFC_SW_DWN,2024,4.867,5.4377,5.4499,5.7017,4.7242,4.1086,4.3027,4.3015,5.317,5.0808,4.8742,4.1273,4.853
CLOUD_AMT,2015,91.35,81.33,69.73,67.37,68.67,79.43,55.45,55.63,65.27,62.17,76.53,84.36,71.35
CLOUD_AMT,2016,73.94,76.24,70.12,72.7,80.61,84.52,77.01,82.1,84.01,94.75,92.57,94.85,81.97
CLOUD_AMT,2017,94.49,92.81,86.24,84.37,80.79,83.94,80.3,83.62,81.02,84.0,92.3,90.86,86.18
CLOUD_AMT,2018,96.75,86.04,83.71,85.35,85.69,83.17,82.52,67.81,73.75,79.8,90.39,89.9,83.73
CLOUD_AMT,2019,92.29,70.27,78.2,76.39,70.13,79.32,72.49,69.11,52.11,71.32,70.67,90.27,74.47
CLOUD_AMT,2020,70.57,78.88,73.05,74.2,77.95,83.43,78.23,68.26,85.63,86.78,85.72,93.74,79.68
CLOUD_AMT,2021,96.63,88.05,85.52,84.95,85.3,75.79,78.04,83.19,85.52,80.15,88.03,96.64,85.65
CLOUD_AMT,2022,94.01,93.93,81.4,84.98,85.91,75.22,85.39,84.72,87.23,95.33,94.16,95.41,88.12
CLOUD_AMT,2023,95.43,94.41,87.41,83.12,81.49,77.69,77.88,69.72,70.88,60.9,74.86,80.27,79.41
CLOUD_AMT,2024,90.78,69.34,79.24,73.76,85.62,85.6,78.25,79.9,76.46,79.62,81.2,95.57,81.37
PS,2015,100.61,100.64,100.67,100.54,100.58,100.57,100.62,100.63,100.62,100.63,100.49,100.61,100.6
PS,2016,100.65,100.64,100.64,100.56,100.48,100.59,100.52,100.5,100.53,100.48,100.45,100.45,100.54
PS,2017,100.48,100.56,100.55,100.56,100.5,100.59,100.59,100.53,100.55,100.44,100.33,100.43,100.51
PS,2018,100.37,100.55,100.48,100.47,100.47,100.57,100.5,100.56,100.55,100.56,100.52,100.48,100.51
PS,2019,100.59,100.7,100.61,100.5,100.53,100.52,100.6,100.58,100.64,100.5,100.47,100.5,100.56
PS,2020,100.54,100.61,100.57,100.57,100.49,100.5,100.44,100.49,100.49,100.42,100.44,100.39,100.5
PS,2021,100.38,100.46,100.47,100.54,100.43,100.57,100.52,100.57,100.51,100.48,100.37,100.5,100.48
